tanda,Clave,Nombre,tipo_final,confianza_tipo,dominio,URL_cruda,presencia_mx,estado_mx,listo_para_comprar,Notas
3,1004265,Grass Valley,OEM,Alta,,www.g...,,,"NO - URL truncada, re-exportar CRM primero",Media and broadcast equipment
3,1005342,Greer Industries,EMS/CM,Alta,,greerind...,,,"NO - URL truncada, re-exportar CRM primero",CM
3,1002945,Gulfstream Aerospace,OEM,Alta,,www.g...,,,"NO - URL truncada, re-exportar CRM primero",
3,1007969,HBPO,OEM,Alta,,plastico...,,,"NO - URL truncada, re-exportar CRM primero",Fabricante de repuestos para automoviles
3,1003268,Hamsar,OEM,Alta,,hamsa...,,,"NO - URL truncada, re-exportar CRM primero",A Methode Electronics Company. OEM - Industrial
3,1007541,Hankscraft Inc.,OEM,Alta,,www.h...,,,"NO - URL truncada, re-exportar CRM primero","Since 1920, Hankscraft OEM"
3,1004002,Hensoldt,OEM,Alta,,hensold...,,,"NO - URL truncada, re-exportar CRM primero",split off from Airbus Group - multiple locations
3,1007187,Hologic,OEM,Alta,,www.h...,,,"NO - URL truncada, re-exportar CRM primero",medical screening manufacturer
3,1006068,Hughes Circuits,EMS/CM,Alta,,www.h...,,,"NO - URL truncada, re-exportar CRM primero",CM for Meggitt
3,1005096,Hughes Network Systems,EMS/CM,Alta,,www.h...,,,"NO - URL truncada, re-exportar CRM primero",Networking - Satellites/Systems
3,1008313,ICU Medical,EMS/CM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",Medical devices such as IV systems / Pharmacy
3,1005124,IED Group,EMS/CM,Alta,,iedgrou...,,,"NO - URL truncada, re-exportar CRM primero",International Electronics Design - EMS Support
3,1004168,IFM Electronic Gmbh,OEM,Alta,,ifm...,,,"NO - URL truncada, re-exportar CRM primero",franchise with parent company
3,1005628,Imperial Electronics Assembly,EMS/CM,Alta,,i...,,,"NO - URL truncada, re-exportar CRM primero",
3,1001233,Indak Manufacturing,OEM,Alta,,borgind...,,,"NO - URL truncada, re-exportar CRM primero",Automotive/outdoor products/LED Lighting
3,1004993,"Indus Teqsite Pvt., Ltd",EMS/CM,Alta,,i...,,,"NO - URL truncada, re-exportar CRM primero",CM/EMS // Distribution/indirect sales
3,1006731,Infineon Technologies,OEM,Alta,,infineon...,,,"NO - URL truncada, re-exportar CRM primero",
3,1004899,Innova Electronic Corporation,OEM,Alta,,innova...,,,"NO - URL truncada, re-exportar CRM primero",OEM for automotive aftermarket testing equipment
3,1004935,Innovative Circuits Arizona,OEM,Alta,,imagin...,,,"NO - URL truncada, re-exportar CRM primero",
3,1006291,Innovative Electronics Corporation,OEM,Alta,,www.in...,,,"NO - URL truncada, re-exportar CRM primero",
3,1007345,Innovative Maschinencomponente GmbH,OEM,Alta,,in...,,,"NO - URL truncada, re-exportar CRM primero",
3,1002320,"Integrated Micro-Electronics, Inc. (IMI)",EMS/CM,Alta,,www.g...,,,"NO - URL truncada, re-exportar CRM primero",
3,1006911,IntelliQuip,OEM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",OEM
3,1005496,Intelligent Manufacturing Solutions Corp (IMS),EMS/CM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",PCBA rapid prototype and On-Demand Manuf
3,1007006,Intellipower Inc.,OEM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero","External Battery Chargers, Rugged UPS"
3,1007919,Interroll Group,OEM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",Interroll Worldwide Group - manufacturer
3,1004749,Intervala,EMS/CM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",full-service manufacturer
3,1002924,Inventus Power,EMS/CM,Alta,,invent...,,,"NO - URL truncada, re-exportar CRM primero",Advanced Battery Systems Manufacturer
3,1007249,Invue,OEM,Alta,,invue...,,,"NO - URL truncada, re-exportar CRM primero",global technology company
3,1006007,"Ionics EMS, Inc",EMS/CM,Alta,,www.i...,,,"NO - URL truncada, re-exportar CRM primero",
3,1007058,Jaltek Systems Ltd,OEM,Alta,,jal...,,,"NO - URL truncada, re-exportar CRM primero",
3,1006554,Johnson and Johnson,OEM,Alta,,www.j...,,,"NO - URL truncada, re-exportar CRM primero",JNJ Medical
3,1007847,Juniper Networks,OEM,Alta,,www.j...,,,"NO - URL truncada, re-exportar CRM primero",
3,1002733,KLA,OEM,Alta,,www.k...,,,"NO - URL truncada, re-exportar CRM primero","OEM - Semiconductor mfg, supplies process control"
3,1005650,"Kampi Components Co., Inc.",OEM,Alta,,kampi...,,,"NO - URL truncada, re-exportar CRM primero",key military supplier to the U.S. Government
3,1006480,Keith Telecom Systems Pvt. Ltd.,EMS/CM,Alta,,keithtel...,,,"NO - URL truncada, re-exportar CRM primero",EMS
3,1004603,Keltech Inc,EMS/CM,Alta,,keltech...,,,"NO - URL truncada, re-exportar CRM primero",Very small CM that supports Elbit FW: PCBs
3,1005093,Keytronics EMS,EMS/CM,Alta,,www.k...,,,"NO - URL truncada, re-exportar CRM primero",Contract Manufacturer
3,1005214,Kitron,EMS/CM,Alta,,kitron...,,,"NO - URL truncada, re-exportar CRM primero",ABB CM location in Lithuania
3,1007483,Knorr-Bremse,OEM,Alta,,www.k...,,,"NO - URL truncada, re-exportar CRM primero",
3,1003715,Krauss-Maffei Wegmann GmbH & Co. KG,OEM,Alta,,www.k...,,,"NO - URL truncada, re-exportar CRM primero",International benchmark for highly protected
3,1007379,Krypton Solutions LLC,EMS/CM,Alta,,www.k...,,,"NO - URL truncada, re-exportar CRM primero",full service production
3,1006841,LIFE FITNESS,OEM,Alta,,li...,,,"NO - URL truncada, re-exportar CRM primero",50+ years
3,1002734,Lam Research,OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero",OEM - Semiconductor mfg
3,1005185,Lantronix,OEM,Alta,,lantroni...,,,"NO - URL truncada, re-exportar CRM primero",OEM for computing - Irvine CA (HQ)
3,1006718,"Laritech, Inc",EMS/CM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero","Quick-turn PCB design, test, and production"
3,1003959,Leonardo Electronics US Inc.,OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero",Subsidiary of Leonardo. 4 Locations
3,1008277,LiquidSpring,EMS/CM,Alta,,liquids...,,,"NO - URL truncada, re-exportar CRM primero","EMS: Irvine Electronics, LLC (A Volex Co)"
3,1001189,Lockheed Martin,OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero","Four Divisions - Aeronautics, Missile and Fire..."
3,1005969,Lockheed Martin Missiles and Fire Control,OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero",
3,1002305,Logic PD,EMS/CM,Alta,,www.logicpd...,,,"NO - URL truncada, re-exportar CRM primero",
3,1006555,"Lollis Metals, Inc.",OEM,Alta,,lol...,,,"NO - URL truncada, re-exportar CRM primero",commercial metal fabrication; OEM parts
3,1005962,Lucix Corporation,OEM,Alta,,lucix.c...,,,"NO - URL truncada, re-exportar CRM primero",OEM
3,1006969,"Luminar Technologies, Inc",OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero",Celestica Customer
3,1007197,Luminator Technology Group,OEM,Alta,,lumina...,,,"NO - URL truncada, re-exportar CRM primero",innovator in design
3,1002641,Luminex Corporation,OEM,Alta,,www.l...,,,"NO - URL truncada, re-exportar CRM primero",OEM - proprietary biological testing
3,1008192,MBDA,OEM,Alta,,www...,,,"NO - URL truncada, re-exportar CRM primero",only European group capable of designing
3,1004807,MX Electronics Manufacturing,EMS/CM,Alta,,www.m...,,,"NO - URL truncada, re-exportar CRM primero",Leading Contract Manufacturer
3,1002867,"MagTek, Inc.",OEM,Alta,,www.magtek...,,,"NO - URL truncada, re-exportar CRM primero","Readers, Sorters, or Inscribers, Magnetic Ink"
3,1006571,Manitowoc,OEM,Alta,,www...,,,"NO - URL truncada, re-exportar CRM primero",Manitowoc Food Services
3,1005898,Markem-Imaje (China),OEM,Alta,,markem...,,,"NO - URL truncada, re-exportar CRM primero",OEM - product identification & traceability
3,1007666,"Mathews Associates, Inc",OEM,Alta,,www...,,,"NO - URL truncada, re-exportar CRM primero",MAI - Military batteries supplier
3,1007148,Mattel,OEM,Alta,,corpor...,,,"NO - URL truncada, re-exportar CRM primero",American Toy Manufacturer
3,1003960,Medallion Instrumentation Systems,OEM,Alta,,www...,,,"NO - URL truncada, re-exportar CRM primero",
3,1006526,Mettrix Technology Corp,EMS/CM,Alta,,www.m...,,,"NO - URL truncada, re-exportar CRM primero",CEM
3,1006924,MicroVision Electronics Pvt Ltd,EMS/CM,Alta,,microv...,,,"NO - URL truncada, re-exportar CRM primero","EMS: PCBA, etc"
3,1001239,Microchip,OEM,Alta,,www...,,,"NO - URL truncada, re-exportar CRM primero",
